participant;IP;task;SS;SL;SP;DS;DL;DP;taskname
3;108.53.188.131;SPDS;0;0;1;0;0;0;SA9_Rep3
3;108.53.188.131;SSSP;1;0;0;0;0;0;SA10
3;108.53.188.131;SSSP;1;0;0;0;0;0;SA10_Rep2
3;108.53.188.131;SSSP;1;0;0;0;0;0;SA10_Rep3
3;108.53.188.131;SLDS;0;1;0;0;0;0;SA11
3;108.53.188.131;SLDS;0;1;0;0;0;0;SA11_Rep2
3;108.53.188.131;SLDS;0;1;0;0;0;0;SA11_Rep3
3;108.53.188.131;DPDS;0;0;0;0;0;1;SA12
3;108.53.188.131;DPDS;0;0;0;0;0;1;SA12_Rep2
3;108.53.188.131;DPDS;0;0;0;0;0;1;SA12_Rep3
3;108.53.188.131;DLDS;0;0;0;0;1;0;SA13
3;108.53.188.131;DLDS;0;0;0;0;1;0;SA13_Rep2
3;108.53.188.131;DLDS;0;0;0;0;1;0;SA13_Rep3
4;108.233.0.38;DPDL;0;0;0;0;0;1;SA2
4;108.233.0.38;DPDL;0;0;0;0;0;1;SA2_Rep2
4;108.233.0.38;DPDL;0;0;0;0;0;1;SA2_Rep3
4;108.233.0.38;SSDL;1;0;0;0;0;0;SA3
4;108.233.0.38;SSDL;0;0;0;0;1;0;SA3_Rep2
4;108.233.0.38;SSDL;0;0;0;0;0;0;SA3_Rep3
4;108.233.0.38;SSDP;1;0;0;0;0;0;SA4
4;108.233.0.38;SSDP;1;0;0;0;0;0;SA4_Rep2
4;108.233.0.38;SSDP;0;0;0;0;0;1;SA4_Rep3
4;108.233.0.38;SLDP;0;0;0;0;0;1;SA5
4;108.233.0.38;SLDP;0;0;0;0;0;1;SA5_Rep2
4;108.233.0.38;SLDP;0;0;0;0;0;1;SA5_Rep3
4;108.233.0.38;SPDL;0;0;0;0;1;0;SA6
4;108.233.0.38;SPDL;0;0;0;0;1;0;SA6_Rep2
4;108.233.0.38;SPDL;0;0;1;0;0;0;SA6_Rep3
4;108.233.0.38;SLSS;0;1;0;0;0;0;SA7
4;108.233.0.38;SLSS;0;1;0;0;0;0;SA7_Rep2
4;108.233.0.38;SLSS;0;1;0;0;0;0;SA7_Rep3
4;108.233.0.38;SPSL;0;1;0;0;0;0;SA8
4;108.233.0.38;SPSL;0;1;0;0;0;0;SA8_Rep2
4;108.233.0.38;SPSL;0;1;0;0;0;0;SA8_Rep3
4;108.233.0.38;SPDS;0;0;0;1;0;0;SA9
4;108.233.0.38;SPDS;0;0;0;1;0;0;SA9_Rep2
4;108.233.0.38;SPDS;0;0;1;0;0;0;SA9_Rep3
4;108.233.0.38;SSSP;0;0;1;0;0;0;SA10
4;108.233.0.38;SSSP;1;0;0;0;0;0;SA10_Rep2
4;108.233.0.38;SSSP;0;0;1;0;0;0;SA10_Rep3
4;108.233.0.38;SLDS;0;1;0;0;0;0;SA11
4;108.233.0.38;SLDS;0;1;0;0;0;0;SA11_Rep2
4;108.233.0.38;SLDS;0;1;0;0;0;0;SA11_Rep3
4;108.233.0.38;DPDS;0;0;0;1;0;0;SA12
4;108.233.0.38;DPDS;0;0;0;0;0;1;SA12_Rep2
4;108.233.0.38;DPDS;0;0;0;0;0;1;SA12_Rep3
4;108.233.0.38;DLDS;0;0;0;0;1;0;SA13
4;108.233.0.38;DLDS;0;0;0;0;1;0;SA13_Rep2
4;108.233.0.38;DLDS;0;0;0;1;0;0;SA13_Rep3
5;173.185.23.185;DPDL;0;0;0;0;0;1;SA2
5;173.185.23.185;DPDL;0;0;0;0;1;0;SA2_Rep2
5;173.185.23.185;DPDL;0;0;0;0;0;1;SA2_Rep3
5;173.185.23.185;SSDL;1;0;0;0;0;0;SA3
5;173.185.23.185;SSDL;1;0;0;0;0;0;SA3_Rep2
5;173.185.23.185;SSDL;1;0;0;0;0;0;SA3_Rep3
5;173.185.23.185;SSDP;1;0;0;0;0;0;SA4
5;173.185.23.185;SSDP;0;0;0;0;0;1;SA4_Rep2
5;173.185.23.185;SSDP;0;0;0;0;0;1;SA4_Rep3
5;173.185.23.185;SLDP;0;0;0;0;0;1;SA5
5;173.185.23.185;SLDP;0;0;0;0;0;1;SA5_Rep2
5;173.185.23.185;SLDP;0;0;0;0;0;1;SA5_Rep3
5;173.185.23.185;SPDL;0;0;1;0;0;0;SA6
5;173.185.23.185;SPDL;0;0;1;0;0;0;SA6_Rep2
5;173.185.23.185;SPDL;0;0;1;0;0;0;SA6_Rep3
5;173.185.23.185;SLSS;1;0;0;0;0;0;SA7
5;173.185.23.185;SLSS;1;0;0;0;0;0;SA7_Rep2
5;173.185.23.185;SLSS;1;0;0;0;0;0;SA7_Rep3
5;173.185.23.185;SPSL;0;0;1;0;0;0;SA8
5;173.185.23.185;SPSL;0;0;1;0;0;0;SA8_Rep2
5;173.185.23.185;SPSL;0;0;1;0;0;0;SA8_Rep3
5;173.185.23.185;SPDS;0;0;0;1;0;0;SA9
5;173.185.23.185;SPDS;0;0;0;1;0;0;SA9_Rep2
5;173.185.23.185;SPDS;0;0;0;1;0;0;SA9_Rep3
5;173.185.23.185;SSSP;1;0;0;0;0;0;SA10
5;173.185.23.185;SSSP;0;0;1;0;0;0;SA10_Rep2
5;173.185.23.185;SSSP;1;0;0;0;0;0;SA10_Rep3
5;173.185.23.185;SLDS;0;0;0;1;0;0;SA11
5;173.185.23.185;SLDS;0;0;0;1;0;0;SA11_Rep2
5;173.185.23.185;SLDS;0;0;0;1;0;0;SA11_Rep3
5;173.185.23.185;DPDS;0;0;0;1;0;0;SA12
5;173.185.23.185;DPDS;0;0;0;0;0;1;SA12_Rep2
5;173.185.23.185;DPDS;0;0;0;0;0;1;SA12_Rep3
5;173.185.23.185;DLDS;0;0;0;1;0;0;SA13
5;173.185.23.185;DLDS;0;0;0;1;0;0;SA13_Rep2
5;173.185.23.185;DLDS;0;0;0;1;0;0;SA13_Rep3
6;75.146.172.161;DPDL;0;0;0;0;1;0;SA2
6;75.146.172.161;DPDL;0;0;0;0;1;0;SA2_Rep2
6;75.146.172.161;DPDL;0;0;0;0;1;0;SA2_Rep3
6;75.146.172.161;SSDL;0;0;0;0;1;0;SA3
6;75.146.172.161;SSDL;0;0;0;0;1;0;SA3_Rep2
6;75.146.172.161;SSDL;1;0;0;0;0;0;SA3_Rep3
6;75.146.172.161;SSDP;1;0;0;0;0;0;SA4
6;75.146.172.161;SSDP;1;0;0;0;0;0;SA4_Rep2
6;75.146.172.161;SSDP;1;0;0;0;0;0;SA4_Rep3
6;75.146.172.161;SLDP;0;1;0;0;0;0;SA5
6;75.146.172.161;SLDP;0;1;0;0;0;0;SA5_Rep2
6;75.146.172.161;SLDP;0;1;0;0;0;0;SA5_Rep3
6;75.146.172.161;SPDL;0;0;0;0;1;0;SA6
6;75.146.172.161;SPDL;0;0;1;0;0;0;SA6_Rep2
6;75.146.172.161;SPDL;0;0;0;0;1;0;SA6_Rep3
6;75.146.172.161;SLSS;0;1;0;0;0;0;SA7
6;75.146.172.161;SLSS;1;0;0;0;0;0;SA7_Rep2
6;75.146.172.161;SLSS;1;0;0;0;0;0;SA7_Rep3
6;75.146.172.161;SPSL;0;1;0;0;0;0;SA8
6;75.146.172.161;SPSL;0;1;0;0;0;0;SA8_Rep2
6;75.146.172.161;SPSL;0;1;0;0;0;0;SA8_Rep3
6;75.146.172.161;SPDS;0;0;0;1;0;0;SA9
6;75.146.172.161;SPDS;0;0;0;1;0;0;SA9_Rep2
6;75.146.172.161;SPDS;0;0;0;1;0;0;SA9_Rep3
6;75.146.172.161;SSSP;1;0;0;0;0;0;SA10
6;75.146.172.161;SSSP;1;0;0;0;0;0;SA10_Rep2
6;75.146.172.161;SSSP;1;0;0;0;0;0;SA10_Rep3
6;75.146.172.161;SLDS;0;1;0;0;0;0;SA11
6;75.146.172.161;SLDS;0;0;0;1;0;0;SA11_Rep2
6;75.146.172.161;SLDS;0;1;0;0;0;0;SA11_Rep3
6;75.146.172.161;DPDS;0;0;0;1;0;0;SA12
6;75.146.172.161;DPDS;0;0;0;1;0;0;SA12_Rep2
6;75.146.172.161;DPDS;0;0;0;1;0;0;SA12_Rep3
6;75.146.172.161;DLDS;0;0;0;0;1;0;SA13
6;75.146.172.161;DLDS;0;0;0;1;0;0;SA13_Rep2
6;75.146.172.161;DLDS;0;0;0;1;0;0;SA13_Rep3
7;99.101.100.181;DPDL;0;0;0;0;1;0;SA2
7;99.101.100.181;DPDL;0;0;0;0;1;0;SA2_Rep2
7;99.101.100.181;DPDL;0;0;0;0;1;0;SA2_Rep3
7;99.101.100.181;SSDL;1;0;0;0;0;0;SA3
7;99.101.100.181;SSDL;0;0;0;0;1;0;SA3_Rep2
7;99.101.100.181;SSDL;1;0;0;0;0;0;SA3_Rep3
7;99.101.100.181;SSDP;1;0;0;0;0;0;SA4
7;99.101.100.181;SSDP;1;0;0;0;0;0;SA4_Rep2
7;99.101.100.181;SSDP;1;0;0;0;0;0;SA4_Rep3
7;99.101.100.181;SLDP;0;1;0;0;0;0;SA5
7;99.101.100.181;SLDP;0;1;0;0;0;0;SA5_Rep2
7;99.101.100.181;SLDP;0;1;0;0;0;0;SA5_Rep3
7;99.101.100.181;SPDL;0;0;0;0;1;0;SA6
7;99.101.100.181;SPDL;0;0;0;0;1;0;SA6_Rep2
7;99.101.100.181;SPDL;0;0;0;0;1;0;SA6_Rep3
7;99.101.100.181;SLSS;0;1;0;0;0;0;SA7
7;99.101.100.181;SLSS;1;0;0;0;0;0;SA7_Rep2
7;99.101.100.181;SLSS;1;0;0;0;0;0;SA7_Rep3
7;99.101.100.181;SPSL;0;1;0;0;0;0;SA8
7;99.101.100.181;SPSL;0;1;0;0;0;0;SA8_Rep2
7;99.101.100.181;SPSL;0;1;0;0;0;0;SA8_Rep3
7;99.101.100.181;SPDS;0;0;0;1;0;0;SA9
7;99.101.100.181;SPDS;0;0;0;1;0;0;SA9_Rep2
7;99.101.100.181;SPDS;0;0;0;1;0;0;SA9_Rep3
7;99.101.100.181;SSSP;1;0;0;0;0;0;SA10
7;99.101.100.181;SSSP;1;0;0;0;0;0;SA10_Rep2
7;99.101.100.181;SSSP;1;0;0;0;0;0;SA10_Rep3
7;99.101.100.181;SLDS;0;1;0;0;0;0;SA11
7;99.101.100.181;SLDS;0;0;0;1;0;0;SA11_Rep2
7;99.101.100.181;SLDS;0;0;0;1;0;0;SA11_Rep3
7;99.101.100.181;DPDS;0;0;0;1;0;0;SA12
7;99.101.100.181;DPDS;0;0;0;1;0;0;SA12_Rep2
7;99.101.100.181;DPDS;0;0;0;1;0;0;SA12_Rep3
7;99.101.100.181;DLDS;0;0;0;1;0;0;SA13
7;99.101.100.181;DLDS;0;0;0;1;0;0;SA13_Rep2
7;99.101.100.181;DLDS;0;0;0;0;1;0;SA13_Rep3
8;68.191.170.7;DPDL;0;0;0;0;0;1;SA2
8;68.191.170.7;DPDL;0;0;0;0;0;1;SA2_Rep2
8;68.191.170.7;DPDL;0;0;0;0;0;1;SA2_Rep3
8;68.191.170.7;SSDL;0;0;0;0;1;0;SA3
8;68.191.170.7;SSDL;0;0;0;0;1;0;SA3_Rep2
8;68.191.170.7;SSDL;0;0;0;0;1;0;SA3_Rep3
8;68.191.170.7;SSDP;0;0;0;0;0;1;SA4
8;68.191.170.7;SSDP;0;0;0;0;0;1;SA4_Rep2
8;68.191.170.7;SSDP;0;0;0;0;0;1;SA4_Rep3
8;68.191.170.7;SLDP;0;0;0;0;0;1;SA5
8;68.191.170.7;SLDP;0;0;0;0;0;1;SA5_Rep2
8;68.191.170.7;SLDP;0;0;0;0;0;1;SA5_Rep3
8;68.191.170.7;SPDL;0;0;1;0;0;0;SA6
8;68.191.170.7;SPDL;0;0;1;0;0;0;SA6_Rep2
8;68.191.170.7;SPDL;0;0;1;0;0;0;SA6_Rep3
8;68.191.170.7;SLSS;0;1;0;0;0;0;SA7
8;68.191.170.7;SLSS;0;1;0;0;0;0;SA7_Rep2
8;68.191.170.7;SLSS;0;1;0;0;0;0;SA7_Rep3
8;68.191.170.7;SPSL;0;0;1;0;0;0;SA8
8;68.191.170.7;SPSL;0;0;1;0;0;0;SA8_Rep2
8;68.191.170.7;SPSL;0;0;1;0;0;0;SA8_Rep3
8;68.191.170.7;SPDS;0;0;1;0;0;0;SA9
8;68.191.170.7;SPDS;0;0;1;0;0;0;SA9_Rep2
8;68.191.170.7;SPDS;0;0;1;0;0;0;SA9_Rep3
8;68.191.170.7;SSSP;0;0;1;0;0;0;SA10
8;68.191.170.7;SSSP;0;0;1;0;0;0;SA10_Rep2
8;68.191.170.7;SSSP;0;0;1;0;0;0;SA10_Rep3
8;68.191.170.7;SLDS;0;1;0;0;0;0;SA11
8;68.191.170.7;SLDS;0;0;0;1;0;0;SA11_Rep2
8;68.191.170.7;SLDS;0;0;0;1;0;0;SA11_Rep3
8;68.191.170.7;DPDS;0;0;0;0;0;1;SA12
8;68.191.170.7;DPDS;0;0;0;0;0;1;SA12_Rep2
8;68.191.170.7;DPDS;0;0;0;0;0;1;SA12_Rep3
8;68.191.170.7;DLDS;0;0;0;1;0;0;SA13
8;68.191.170.7;DLDS;0;0;0;1;0;0;SA13_Rep2
8;68.191.170.7;DLDS;0;0;0;0;1;0;SA13_Rep3
9;162.200.146.157;DPDL;0;0;0;0;0;1;SA2
9;162.200.146.157;DPDL;0;0;0;0;0;1;SA2_Rep2
9;162.200.146.157;DPDL;0;0;0;0;0;1;SA2_Rep3
9;162.200.146.157;SSDL;0;0;0;0;1;0;SA3
9;162.200.146.157;SSDL;0;0;0;0;1;0;SA3_Rep2
